"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K1,K2";"EC2_Relay";2;"EC2-24NU";;;
2;"C1";"C_0603_HandSoldering";1;"0.22uF";;;
3;"D1";"SMA_Handsoldering";1;"10.0 V ZENER";;;
4;"D2,D3";"SOD-123";2;"D_Schottky_ALT";;;
5;"D4";"C_0603_HandSoldering";1;"LED_ALT";;;
6;"Q1";"SOT-23";1;"2N7002";;;
7;"R1";"R_0603_HandSoldering";1;"12.6k";;;
8;"R2,R3,R5,R6";"R_0603_HandSoldering";4;"10k";;;
9;"R4";"R_0603_HandSoldering";1;"100k";;;
10;"R7";"R_0603_HandSoldering";1;"3.3k";;;
11;"U1";"SOT-23-5";1;"LM397";;;
12;"P1,P3,P4";"Pin_Header_Straight_1x04";3;"CONN_01X04";;;
13;"P2";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
14;"MH1,MH2,MH3,MH4";"MOUNT_HOLE";4;"CONN_01X01";;;
15;"REF**";"Symbol_OSHW-Logo_SilkScreen";1;"Symbol_OSHW-Logo_SilkScreen";;;
16;"D5";"SMA_Handsoldering";1;"D_ALT";;;
