Qty,Reference(s),MPN,Manufacturer,Primary Supplier,Supplier PN
1,C1,CL10B224KB8VPNC,Samsung,Digikey,1276-6600-1-ND
1,D1,SMAZ10-13-F,Diodes Incorporated,Digikey,SMAZ10-FDICT-ND
2,"D2, D3",BAT48ZFILM,STMicroelectronics,Digikey,497-5712-1-ND
1,D4,LTST-C190YKT,Lite-On Inc.,Digikey,160-1184-1-ND
1,D5,CDBA340-HF,Comchip Technology,Digikey,641-1748-1-ND
2,"K1, K2",EC2-24NU,Kemet,Digikey,399-11037-5-ND
2,"P1, P3",705430003,Molex,Digikey,WM4802-ND
1,P2,705430001,Molex,Digikey,WM4800-ND
1,Q1,2N7002 TR PBFREE,Central Semiconductor Corp,Digikey,1514-2N7002TRPBFREECT-ND
1,R1,RC0603FR-0712K4L,YAGEO,Digikey,311-12.4KHRCT-ND
4,"R2, R3, R5, R6",RC0603FR-0710KL,YAGEO,Digikey,311-10.0KHRCT-ND
1,R4,RC0603FR-07180KL,YAGEO,Digikey,311-180KHRCT-ND
1,R7,RC0603FR-073K3L,YAGEO,Digikey,311-3.30KHRCT-ND
2,"RV1, RV2",AVR-M2012C390KT6AB,TDK,Digikey,445-2549-1-ND
1,U1,LM397MF/NOPB,TI,Digikey,LM397MF/NOPBCT-ND
